,Activity Id,Students Sets,Subject,Teachers,Activity Tags,Room,SKS
36,37,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG2,3
37,38,DB-01-01,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG,3
92,93,DB-01-01,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,FTIB,KTT2.6,3
155,156,DB-01-01,23982 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE4,2
282,283,DB-01-01,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,FTIB,KTT2.8,2
329,330,DB-01-01,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,ONLINE,ONLINE4,2
359,360,DB-01-01,23987 - DBB1232 - EKONOMI DIGITAL,SWP,FTIB,KTT2.8,2
397,398,DB-01-01,24025 - DBB1213 - TEORI PROBABILITAS,YAN,FTIB,KTT1.8,3
38,39,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG+01,LAB.FTIB.PROG,3
39,40,DB-01-02,23986 - DBB1224 - ALGORITMA DAN PEMROGRAMAN KOMPUTER,ANO,LAB.FTIB.PROG,LAB.FTIB.PROG,3
93,94,DB-01-02,23988 - DBB1243 - AKUNTANSI DASAR DAN BIAYA,DAU,FTIB,KTT1.3,3
156,157,DB-01-02,23982 - FIB1022 - KEWARGANEGARAAN,HAR,ONLINE,ONLINE4,2
283,284,DB-01-02,23983 - FIB1042 - PENGANTAR INDUSTRI TELEKOMUNIKASI,RAS,FTIB,KTT1.12,2
330,331,DB-01-02,23984 - FIB1063 - BAHASA INGGRIS 2,RZK,ONLINE,ONLINE6,2
360,361,DB-01-02,23987 - DBB1232 - EKONOMI DIGITAL,SWP,FTIB,KTT1.8,2
398,399,DB-01-02,24025 - DBB1213 - TEORI PROBABILITAS,YAN,FTIB,KTT1.7,3
